Date,Adj Close
2014-01-31,1782.5899658203125
2014-02-28,1859.449951171875
2014-03-31,1872.3399658203125
2014-04-30,1883.949951171875
2014-05-31,1923.5699462890625
2014-06-30,1960.22998046875
2014-07-31,1930.6700439453125
2014-08-31,2003.3699951171875
2014-09-30,1972.2900390625
2014-10-31,2018.050048828125
2014-11-30,2067.56005859375
2014-12-31,2058.89990234375
2015-01-31,1994.989990234375
2015-02-28,2104.5
2015-03-31,2067.889892578125
2015-04-30,2085.510009765625
2015-05-31,2107.389892578125
2015-06-30,2063.110107421875
2015-07-31,2103.840087890625
2015-08-31,1972.1800537109375
2015-09-30,1920.030029296875
2015-10-31,2079.360107421875
2015-11-30,2080.409912109375
2015-12-31,2043.93994140625
2016-01-31,1940.239990234375
2016-02-29,1932.22998046875
2016-03-31,2059.739990234375
2016-04-30,2065.300048828125
2016-05-31,2096.949951171875
2016-06-30,2098.860107421875
2016-07-31,2173.60009765625
2016-08-31,2170.949951171875
2016-09-30,2168.27001953125
2016-10-31,2126.14990234375
2016-11-30,2198.81005859375
2016-12-31,2238.830078125
2017-01-31,2278.8701171875
2017-02-28,2363.639892578125
2017-03-31,2362.719970703125
2017-04-30,2384.199951171875
2017-05-31,2411.800048828125
2017-06-30,2423.409912109375
2017-07-31,2470.300048828125
2017-08-31,2471.64990234375
2017-09-30,2519.360107421875
2017-10-31,2575.260009765625
2017-11-30,2647.580078125
2017-12-31,2673.610107421875
