Date,AAPL,GOOGL,AMZN,FB
2014-01-31,15.927005767822266,591.0760498046875,358.69000244140625,62.56999969482422
2014-02-28,16.842988967895508,608.4334106445312,362.1000061035156,68.45999908447266
2014-03-31,17.17905616760254,557.8128051757812,336.3699951171875,60.2400016784668
2014-04-30,18.88658905029297,534.8800048828125,304.1300048828125,59.779998779296875
2014-05-31,20.373138427734375,571.6500244140625,312.54998779296875,63.29999923706055
2014-06-30,20.93670082092285,584.6699829101562,324.7799987792969,67.29000091552734
2014-07-31,21.53823471069336,579.5499877929688,312.989990234375,72.6500015258789
2014-08-31,23.207643508911133,582.3599853515625,339.0400085449219,74.81999969482422
2014-09-30,22.811410903930664,588.4099731445312,322.44000244140625,79.04000091552734
2014-10-31,24.452926635742188,567.8699951171875,305.4599914550781,74.98999786376953
2014-11-30,27.044416427612305,549.0800170898438,338.6400146484375,77.69999694824219
2014-12-31,25.10016441345215,530.6599731445312,310.3500061035156,78.0199966430664
2015-01-31,26.641925811767578,537.5499877929688,354.5299987792969,75.91000366210938
2015-02-28,29.32680892944336,562.6300048828125,380.1600036621094,78.97000122070312
2015-03-31,28.406776428222656,554.7000122070312,372.1000061035156,82.22000122070312
2015-04-30,28.571151733398438,548.77001953125,421.7799987792969,78.7699966430664
2015-05-31,29.866539001464844,545.3200073242188,429.2300109863281,79.19000244140625
2015-06-30,28.754684448242188,540.0399780273438,434.0899963378906,85.7699966430664
2015-07-31,27.807886123657227,657.5,536.1500244140625,94.01000213623047
2015-08-31,25.967105865478516,647.8200073242188,512.8900146484375,89.43000030517578
2015-09-30,25.40060043334961,638.3699951171875,511.8900146484375,89.9000015258789
2015-10-31,27.519243240356445,737.3900146484375,625.9000244140625,101.97000122070312
2015-11-30,27.359512329101562,762.8499755859375,664.7999877929688,104.23999786376953
2015-12-31,24.343717575073242,778.010009765625,675.8900146484375,104.66000366210938
2016-01-31,22.512041091918945,761.3499755859375,587.0,112.20999908447266
2016-02-29,22.483057022094727,717.219970703125,552.52001953125,106.91999816894531
2016-03-31,25.343137741088867,762.9000244140625,593.6400146484375,114.0999984741211
2016-04-30,21.797100067138672,707.8800048828125,659.5900268554688,117.58000183105469
2016-05-31,23.361541748046875,748.8499755859375,722.7899780273438,118.80999755859375
2016-06-30,22.364946365356445,703.530029296875,715.6199951171875,114.27999877929688
2016-07-31,24.379188537597656,791.3400268554688,758.8099975585938,123.94000244140625
2016-08-31,24.955808639526367,789.8499755859375,769.1599731445312,126.12000274658203
2016-09-30,26.590518951416016,804.0599975585938,837.3099975585938,128.27000427246094
2016-10-31,26.705768585205078,809.9000244140625,789.8200073242188,130.99000549316406
2016-11-30,26.128902435302734,775.8800048828125,750.5700073242188,118.41999816894531
2016-12-31,27.38191795349121,792.4500122070312,749.8699951171875,115.05000305175781
2017-01-31,28.689308166503906,820.1900024414062,823.47998046875,130.32000732421875
2017-02-28,32.52730178833008,844.9299926757812,845.0399780273438,135.5399932861328
2017-03-31,34.11104202270508,847.7999877929688,886.5399780273438,142.0500030517578
2017-04-30,34.108673095703125,924.52001953125,924.989990234375,150.25
2017-05-31,36.42148971557617,987.0900268554688,994.6199951171875,151.4600067138672
2017-06-30,34.337669372558594,929.6799926757812,968.0,150.97999572753906
2017-07-31,35.46064376831055,945.5,987.780029296875,169.25
2017-08-31,39.25491714477539,955.239990234375,980.5999755859375,171.97000122070312
2017-09-30,36.89004135131836,973.719970703125,961.3499755859375,170.8699951171875
2017-10-31,40.46128463745117,1033.0400390625,1105.280029296875,180.05999755859375
2017-11-30,41.28175735473633,1036.1700439453125,1176.75,177.17999267578125
2017-12-31,40.652374267578125,1053.4000244140625,1169.469970703125,176.4600067138672
